PresentAtCSM	PresentAtEPB	PresentAtBSQ	PresentAtAnyEstuary	ConsumerNodeID	ResourceNodeID	ConsumerSpeciesID	ResourceSpeciesID	ConsumerSpeciesID.StageID	ResourceSpeciesID.StageID	LinkTypeID	LinkType	LinkEvidence	LinkEvidenceNotes	LinkFrequency	LinkN	DietFraction	ConsumptionRate	VectorFrom	PreyFrom
1	1	1	1	21	2	21	2	21.1	2.1	18	detritivory	inferred							
1	1	1	1	21	6	21	6	21.1	6.1	1	predation	inferred							
0	1	0	1	22	2	22	2	22.1	2.1	18	detritivory	modeled							
0	1	0	1	23	2	23	2	23.1	2.1	18	detritivory	modeled							
0	1	1	1	26	2	26	2	26.1	2.1	18	detritivory	modeled							
0	1	0	1	27	2	27	2	27.1	2.1	18	detritivory	modeled							
0	1	0	1	28	2	28	2	28.1	2.1	18	detritivory	modeled							
0	1	1	1	29	2	29	2	29.1	2.1	18	detritivory	modeled							
0	1	0	1	30	2	30	2	30.1	2.1	18	detritivory	modeled							
0	1	0	1	31	2	31	2	31.1	2.1	18	detritivory	modeled							
0	1	0	1	32	2	32	2	32.1	2.1	18	detritivory	modeled							
0	1	0	1	33	2	33	2	33.1	2.1	18	detritivory	modeled							
1	1	1	1	35	2	35	2	35.1	2.1	18	detritivory	observed							
0	1	1	1	45	2	45	2	45.1	2.1	18	detritivory	inferred							
0	1	1	1	45	21	45	21	45.1	21.1	1	predation	inferred							
0	1	0	1	45	47	45	22	45.1	22.2	1	predation	modeled							
0	1	0	1	45	48	45	23	45.1	23.2	1	predation	modeled							
0	1	1	1	45	51	45	26	45.1	26.2	1	predation	modeled							
0	1	0	1	45	52	45	27	45.1	27.2	1	predation	modeled							
0	1	0	1	45	53	45	28	45.1	28.2	1	predation	modeled							
0	1	1	1	45	54	45	29	45.1	29.2	1	predation	modeled							
0	1	0	1	45	55	45	30	45.1	30.2	1	predation	modeled							
0	1	0	1	45	56	45	31	45.1	31.2	1	predation	modeled							
0	1	0	1	45	57	45	32	45.1	32.2	1	predation	modeled							
0	1	0	1	45	58	45	33	45.1	33.2	1	predation	modeled							
0	1	1	1	45	69	45	45	45.1	45.2	1	predation	modeled							
0	1	0	1	45	70	45	46	45.1	46.2	1	predation	modeled							
0	1	0	1	45	99	45	59	45.1	59.2	1	predation	modeled							
0	1	0	1	45	100	45	60	45.1	60.2	1	predation	modeled							
0	1	0	1	45	101	45	61	45.1	61.2	1	predation	inferred							
0	1	0	1	45	102	45	62	45.1	62.2	1	predation	modeled							
0	1	0	1	45	103	45	63	45.1	63.2	1	predation	modeled							
0	1	0	1	45	104	45	64	45.1	64.2	1	predation	inferred							
0	1	0	1	45	108	45	68	45.1	68.2	1	predation	inferred							
0	1	0	1	45	109	45	69	45.1	69.2	1	predation	modeled							
0	1	0	1	45	111	45	71	45.1	71.2	1	predation	inferred							
0	1	0	1	45	113	45	73	45.1	73.2	1	predation	inferred							
0	1	0	1	45	114	45	74	45.1	74.2	1	predation	modeled							
0	1	1	1	45	132	45	92	45.1	92.1	1	predation	inferred							
0	1	1	1	45	140	45	100	45.1	100.1	1	predation	inferred							
0	1	1	1	45	144	45	104	45.1	104.1	1	predation	inferred							
0	1	1	1	45	353	45	233	45.1	233.3	15	trophic transmission	inferred							
0	1	1	1	45	354	45	234	45.1	234.3	16	predation on free-living non-feeding stage	inferred							
0	1	1	1	45	355	45	235	45.1	235.3	16	predation on free-living non-feeding stage	inferred							
0	1	0	1	45	356	45	236	45.1	236.3	16	predation on free-living non-feeding stage	modeled							
0	1	1	1	45	357	45	237	45.1	237.3	16	predation on free-living non-feeding stage	inferred							
0	1	1	1	45	358	45	238	45.1	238.3	16	predation on free-living non-feeding stage	inferred							
0	1	1	1	45	359	45	239	45.1	239.3	16	predation on free-living non-feeding stage	inferred							
0	1	0	1	45	361	45	281	45.1	281.3	16	predation on free-living non-feeding stage	modeled							
0	1	0	1	45	362	45	242	45.1	242.3	16	predation on free-living non-feeding stage	modeled							
0	1	0	1	45	363	45	243	45.1	243.3	16	predation on free-living non-feeding stage	modeled							
