PresentAtCSM	PresentAtEPB	PresentAtBSQ	PresentAtAnyEstuary	ConsumerNodeID	ResourceNodeID	ConsumerSpeciesID	ResourceSpeciesID	ConsumerSpeciesID.StageID	ResourceSpeciesID.StageID	LinkTypeID	LinkType	LinkEvidence	LinkEvidenceNotes	LinkFrequency	LinkN	DietFraction	ConsumptionRate	VectorFrom	PreyFrom
1	1	0	1	88	387	64	268	64.1	268.3	16	predation on free-living non-feeding stage	inferred							
1	1	0	1	88	388	64	269	64.1	269.3	16	predation on free-living non-feeding stage	inferred							
1	1	0	1	88	390	64	271	64.1	271.3	16	predation on free-living non-feeding stage	inferred							
1	1	0	1	88	391	64	272	64.1	272.3	16	predation on free-living non-feeding stage	inferred							
1	1	0	1	88	392	64	273	64.1	273.3	16	predation on free-living non-feeding stage	inferred							
1	1	0	1	88	393	64	274	64.1	274.3	16	predation on free-living non-feeding stage	inferred							
1	1	0	1	88	394	64	275	64.1	275.3	16	predation on free-living non-feeding stage	inferred							
1	1	0	1	88	395	64	276	64.1	276.3	16	predation on free-living non-feeding stage	modeled							
1	1	0	1	88	396	64	277	64.1	277.3	16	predation on free-living non-feeding stage	inferred							
1	0	0	1	88	399	64	279	64.1	279.3	16	predation on free-living non-feeding stage	inferred							
1	0	0	1	88	400	64	280	64.1	280.3	16	predation on free-living non-feeding stage	inferred							
1	0	0	1	89	2	65	2	65.1	2.1	1	predation	inferred							
1	0	0	1	89	6	65	6	65.1	6.1	1	predation	inferred							
1	0	0	1	89	12	65	12	65.1	12.1	1	predation	inferred							
1	0	0	1	89	50	65	25	65.1	25.2	1	predation	inferred							
1	0	0	1	89	68	65	44	65.1	44.2	1	predation	inferred							
1	0	0	1	89	101	65	61	65.1	61.2	1	predation	inferred							
1	0	0	1	89	104	65	64	65.1	64.2	1	predation	inferred							
1	0	0	1	89	105	65	65	65.1	65.2	1	predation	inferred							
1	0	0	1	89	106	65	66	65.1	66.2	1	predation	inferred							
1	0	0	1	89	107	65	67	65.1	67.2	1	predation	inferred							
1	0	0	1	89	108	65	68	65.1	68.2	1	predation	inferred							
1	0	0	1	89	110	65	70	65.1	70.2	1	predation	inferred							
1	0	0	1	89	111	65	71	65.1	71.2	1	predation	inferred							
1	0	0	1	89	112	65	72	65.1	72.2	1	predation	inferred							
1	0	0	1	89	113	65	73	65.1	73.2	1	predation	inferred							
1	0	0	1	89	353	65	233	65.1	233.3	16	predation on free-living non-feeding stage	inferred							
1	0	0	1	89	354	65	234	65.1	234.3	16	predation on free-living non-feeding stage	inferred							
1	0	0	1	89	355	65	235	65.1	235.3	16	predation on free-living non-feeding stage	inferred							
1	0	0	1	89	357	65	237	65.1	237.3	16	predation on free-living non-feeding stage	inferred							
1	0	0	1	89	358	65	238	65.1	238.3	16	predation on free-living non-feeding stage	inferred							
1	0	0	1	89	359	65	239	65.1	239.3	16	predation on free-living non-feeding stage	inferred							
1	0	0	1	89	360	65	240	65.1	240.3	16	predation on free-living non-feeding stage	inferred							
1	0	0	1	89	364	65	244	65.1	244.3	16	predation on free-living non-feeding stage	inferred							
1	0	0	1	89	365	65	245	65.1	245.3	16	predation on free-living non-feeding stage	inferred							
1	0	0	1	89	366	65	246	65.1	246.3	16	predation on free-living non-feeding stage	inferred							
1	0	0	1	89	367	65	247	65.1	247.3	16	predation on free-living non-feeding stage	inferred							
1	0	0	1	89	369	65	250	65.1	250.3	16	predation on free-living non-feeding stage	inferred							
1	0	0	1	89	370	65	251	65.1	251.3	16	predation on free-living non-feeding stage	inferred							
1	0	0	1	89	374	65	255	65.1	255.3	16	predation on free-living non-feeding stage	inferred							
1	0	0	1	89	384	65	265	65.1	265.3	16	predation on free-living non-feeding stage	inferred							
1	0	0	1	89	385	65	266	65.1	266.3	16	predation on free-living non-feeding stage	inferred							
1	0	0	1	89	386	65	267	65.1	267.3	16	predation on free-living non-feeding stage	inferred							
1	0	0	1	89	387	65	268	65.1	268.3	16	predation on free-living non-feeding stage	inferred							
1	0	0	1	89	388	65	269	65.1	269.3	16	predation on free-living non-feeding stage	inferred							
1	0	0	1	89	390	65	271	65.1	271.3	16	predation on free-living non-feeding stage	inferred							
1	0	0	1	89	391	65	272	65.1	272.3	16	predation on free-living non-feeding stage	inferred							
1	0	0	1	89	392	65	273	65.1	273.3	16	predation on free-living non-feeding stage	inferred							
1	0	0	1	89	393	65	274	65.1	274.3	16	predation on free-living non-feeding stage	inferred							
1	0	0	1	89	394	65	275	65.1	275.3	16	predation on free-living non-feeding stage	inferred							
1	0	0	1	89	395	65	276	65.1	276.3	16	predation on free-living non-feeding stage	modeled							
